relname,seq_scan,idx_scan,n_tup_ins,n_tup_upd,n_tup_del
bookings,2,0,0,0,0
consumer_inbox,1,576522,576522,0,0
dead_letters,9,0,0,0,0
event_reconciliation,61891,2708760,801,1694167,0
event_seats,252532,2460565,240300,576522,0
events,39333,3268114,801,0,0
holds,185,2580442,288261,288261,0
idempotency_records,41,576522,288261,288261,0
order_items,9,16,288261,0,0
orders,29386,1809731,288261,288261,0
outbox_events,24,1819293,576522,1153044,0
payment_attempts,801125,0,0,0,0
payment_callbacks,1,0,0,0,0
refund_requests,1,0,0,0,0
schema_migrations,1,35,5,0,0
seat_refresh_requests,642322,1959389,801,1417995,0
tickets,2,0,0,0,0
